airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,	arr_time,level,distance,	flight_time,	flight_type,	load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields
AVA,00001,AV,,,BGGH,BIKF,,367,14:20,17:30,,756,190,J,,,,DCT,,,,1,DH8A,E-Base?price=274.4%;B-Base?price=274.39%;F-Base?price=274.39%,,
AVA,00002,AV,,,BIKF,BGGH,,367,18:30,21:50,,756,200,J,,,,DCT,,,,1,DH8A,E-Base?price=274.4%;B-Base?price=274.39%;F-Base?price=274.39%,,
AVA,00003,AV,,,BGJN,BIKF,,6,09:25,12:30,,739,185,J,,,,DCT,,,,1,DH8A,E-Base?price=270.43%;B-Base?price=270.43%;F-Base?price=270.43%,,
AVA,00004,AV,,,BIKF,BGJN,,6,13:30,16:40,,739,190,J,,,,DCT,,,,1,DH8A,E-Base?price=270.43%;B-Base?price=270.43%;F-Base?price=270.43%,,
AVA,00005,AV,,,BIAR,BIGR,,01256,09:00,09:30,,53,30,J,,,,DCT,,,,1,DHC6,E-Base?price=112.28%;B-Base?price=112.28%;F-Base?price=112.28%,,
AVA,00006,AV,,,BIGR,BIAR,,01256,11:00,11:30,,53,30,J,,,,DCT,,,,1,DHC6,E-Base?price=112.28%;B-Base?price=112.28%;F-Base?price=112.28%,,
AVA,00007,AV,,,BIAR,BIRK,,12345,08:25,09:10,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00008,AV,,,BIRK,BIAR,,25,09:55,10:40,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00009,AV,,,BIAR,BIRK,,67,09:20,10:05,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00010,AV,,,BIRK,BIAR,,1347,11:30,12:15,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00011,AV,,,BIAR,BIRK,,25,11:10,11:55,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00012,AV,,,BIRK,BIAR,,256,12:50,13:35,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00013,AV,,,BIAR,BIRK,,1347,12:45,13:30,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00014,AV,,,BIRK,BIAR,,6,15:35,16:20,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00015,AV,,,BIAR,BIRK,,256,14:05,14:50,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00016,AV,,,BIRK,BIAR,,123457,16:10,16:55,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00017,AV,,,BIAR,BIRK,,6,16:50,17:35,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00018,AV,,,BIRK,BIAR,,6,17:50,18:35,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00019,AV,,,BIAR,BIRK,,123457,17:25,18:10,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00020,AV,,,BIRK,BIAR,,7,19:35,20:20,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00021,AV,,,BIAR,BIRK,,6,19:05,19:50,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00022,AV,,,BIRK,BIAR,,12345,20:00,20:45,,135,45,J,,,,DCT,,,,1,DH8D,E-Base?price=131.06%;B-Base?price=131.06%;F-Base?price=131.06%,,
AVA,00023,AV,,,BIEG,BIRK,,12345,09:00,10:00,,205,60,J,,,,DCT,,,,1,DH8D,E-Base?price=147.34%;B-Base?price=147.34%;F-Base?price=147.34%,,
AVA,00024,AV,,,BIRK,BIEG,,125,12:10,13:10,,205,60,J,,,,DCT,,,,1,DH8D,E-Base?price=147.34%;B-Base?price=147.34%;F-Base?price=147.34%,,
AVA,00025,AV,,,BIEG,BIRK,,67,09:55,10:55,,205,60,J,,,,DCT,,,,1,DH8D,E-Base?price=147.34%;B-Base?price=147.34%;F-Base?price=147.34%,,
AVA,00026,AV,,,BIRK,BIEG,,347,14:20,15:20,,205,60,J,,,,DCT,,,,1,DH8D,E-Base?price=147.34%;B-Base?price=147.34%;F-Base?price=147.34%,,
AVA,00027,AV,,,BIEG,BIRK,,125,13:40,14:40,,205,60,J,,,,DCT,,,,1,DH8D,E-Base?price=147.34%;B-Base?price=147.34%;F-Base?price=147.34%,,
AVA,00028,AV,,,BIRK,BIEG,,6,17:00,18:00,,205,60,J,,,,DCT,,,,1,DH8D,E-Base?price=147.34%;B-Base?price=147.34%;F-Base?price=147.34%,,
AVA,00029,AV,,,BIEG,BIRK,,347,15:50,16:50,,205,60,J,,,,DCT,,,,1,DH8D,E-Base?price=147.34%;B-Base?price=147.34%;F-Base?price=147.34%,,
AVA,00030,AV,,,BIRK,BIEG,,123457,19:00,20:00,,205,60,J,,,,DCT,,,,1,DH8D,E-Base?price=147.34%;B-Base?price=147.34%;F-Base?price=147.34%,,
