subfleet,iata,icao,airport_id,name,registration,hex_code,mtow,zfw,status
A320,320,A320,EGPH,"Nong Hin",AV-1001,,73500.00,54132.00,A
A320,320,A320,EGPH,"Žiar nad Hronom",AV-1002,,73500.00,54132.00,A
A320,320,A320,EGPH,"Goldendale",AV-1003,,73500.00,54132.00,A
A320,320,A320,EGPH,"Xochiltepec",AV-1004,,73500.00,54132.00,A
A320,320,A320,EGPH,"Akçadağ",AV-1005,,73500.00,54132.00,A
A320,320,A320,EGPH,"Sung Men",AV-1006,,73500.00,54132.00,A
A320,320,A320,EGPH,"Gundinci",AV-1007,,73500.00,54132.00,A
A320,320,A320,EGPH,"Cordăreni",AV-1008,,73500.00,54132.00,A
A320,320,A320,EGPH,"Tylertown",AV-1009,,73500.00,54132.00,A
A320,320,A320,EGPH,"Dăbâca",AV-1010,,73500.00,54132.00,A
A320,320,A320,EGPH,"Canandaigua",AV-1011,,73500.00,54132.00,A
E195,E95,E195,EGPH,"Valea Nucarilor",AV-1012,,52290.00,0.00,A
E195,E95,E195,EGPH,"Kolan",AV-1013,,52290.00,0.00,A
E195,E95,E195,EGPH,"Tinghir",AV-1014,,52290.00,0.00,A
E170,E70,E170,EGPH,"Ørje",AV-1015,,38600.00,0.00,A
E170,E70,E170,EGPH,"Cadillac",AV-1016,,38600.00,0.00,A
E170,E70,E170,EGPH,"Kaufman",AV-1017,,38600.00,0.00,A
E170,E70,E170,EGPH,"Grand Forks",AV-1018,,38600.00,0.00,A
AT72,AT7,AT72,EGPH,"Pușcași",AV-1019,,21500.00,0.00,A
AT72,AT7,AT72,EGPH,"Halkapınar",AV-1020,,21500.00,0.00,A
AT72,AT7,AT72,EGPH,"Zavetnoye",AV-1021,,21500.00,0.00,A
B738,738,B738,EGPH,"Selnica",AV-1022,,79015.00,58197.00,A
B738,738,B738,EGPH,"Nadadores",AV-1023,,79015.00,58197.00,A
DH8D,DH4,DH8D,EGPH,"Zagvozd",AV-1024,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Khanu Woralaksaburi",AV-1025,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Santa María Tonameca",AV-1026,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Bağlar",AV-1027,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Dera Bugti",AV-1028,,30481.00,0.00,A
A320,320,A320,EGPH,"Thap Sakae",AV-1029,,73500.00,54132.00,A
A320,320,A320,EGPH,"Uozu",AV-1030,,73500.00,54132.00,A
A320,320,A320,EGPH,"Refugio",AV-1031,,73500.00,54132.00,A
A320,320,A320,EGPH,"Gwangyang",AV-1032,,73500.00,54132.00,A
A320,320,A320,EGPH,"Phon",AV-1033,,73500.00,54132.00,A
A320,320,A320,EGPH,"Crikvenica",AV-1034,,73500.00,54132.00,A
B733,733,B733,EGPH,"Åbybro",AV-1035,,63276.00,47196.00,A
B733,733,B733,EGPH,"Smârdioasa",AV-1036,,63276.00,47196.00,A
B733,733,B733,EGPH,"Mayarí",AV-1037,,63276.00,47196.00,A
B738,738,B738,EGPH,"Luizi-Călugăra",AV-1038,,79015.00,58197.00,A
B738,738,B738,EGPH,"Edgefield",AV-1039,,79015.00,58197.00,A
SF34,,SF34,EGPH,"Sandpoint",AV-1040,,13155.00,0.00,A
AT43,AT4,AT43,EGPH,"Barrow",AV-1041,,16150.00,11650.00,A
DH8D,DH4,DH8D,EGPH,"Valderøy",AV-1042,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Văleni-Dâmbovița",AV-1043,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Umphang",AV-1044,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Live Oak",AV-1045,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Novo Selo",AV-1046,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Hudeşti",AV-1047,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Trnava",AV-1048,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"San Pedro Piedra Gorda",AV-1049,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Arkadelphia",AV-1050,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Greaca",AV-1051,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Camajuaní",AV-1052,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Binghamton",AV-1053,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Bonners Ferry",AV-1054,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Lamduan",AV-1055,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Cărbuneşti",AV-1056,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Arnett",AV-1057,,30481.00,0.00,A
DH8D,DH4,DH8D,EGPH,"Nova Kapela",AV-1058,,30481.00,0.00,A
B734,734,B734,EGPH,"Ust-Nera",AV-1059,,68038.00,51958.00,A
B734,734,B734,EGPH,"Zaječar",AV-1060,,68038.00,51958.00,A
B734,734,B734,EGPH,"Păsăreni",AV-1061,,68038.00,51958.00,A
B734,734,B734,EGPH,"Alquízar",AV-1062,,68038.00,51958.00,A
B734,734,B734,EGPH,"Konyaaltı",AV-1063,,68038.00,51958.00,A
B734,734,B734,EGPH,"Calcahualco",AV-1064,,68038.00,51958.00,A
B734,734,B734,EGPH,"Verbiţa",AV-1065,,68038.00,51958.00,A
B734,734,B734,EGPH,"Alcochete",AV-1066,,68038.00,51958.00,A
B734,734,B734,EGPH,"Adaklı",AV-1067,,68038.00,51958.00,A
B734,734,B734,EGPH,"Jayton",AV-1068,,68038.00,51958.00,A
B734,734,B734,EGPH,"Grove Hill",AV-1069,,68038.00,51958.00,A
B738,738,B738,EGPH,"Mărtiniş",AV-1070,,79015.00,58197.00,A
B738,738,B738,EGPH,"23 August",AV-1071,,79015.00,58197.00,A
B738,738,B738,EGPH,"Răbăgani",AV-1072,,79015.00,58197.00,A
B738,738,B738,EGPH,"Ianca",AV-1073,,79015.00,58197.00,A
B738,738,B738,EGPH,"Jijila",AV-1074,,79015.00,58197.00,A
B738,738,B738,EGPH,"Otok",AV-1075,,79015.00,58197.00,A
B738,738,B738,EGPH,"Chanae",AV-1076,,79015.00,58197.00,A
DH8D,DH4,DH8D,EGPH,"Pabianice",AV-1077,,30481.00,0.00,A
E190,E90,E190,EGPH,"Warsaw",AV-1078,,51800.00,0.00,A
E170,E70,E170,EGPH,"Mardan",AV-1079,,38600.00,0.00,A
E170,E70,E170,EGPH,"Pineville",AV-1080,,38600.00,0.00,A
E170,E70,E170,EGPH,"Tamana",AV-1081,,38600.00,0.00,A
E170,E70,E170,EGPH,"San Pedro Huamelula",AV-1082,,38600.00,0.00,A
E170,E70,E170,EGPH,"Otta",AV-1083,,38600.00,0.00,A
E170,E70,E170,EGPH,"Uwajima",AV-1084,,38600.00,0.00,A
E190,E90,E190,EGPH,"Eidfjord",AV-1085,,51800.00,0.00,A
E190,E90,E190,EGPH,"Fundulea",AV-1086,,51800.00,0.00,A
E190,E90,E190,EGPH,"Letca",AV-1087,,51800.00,0.00,A
E190,E90,E190,EGPH,"Clarksburg",AV-1088,,51800.00,0.00,A
E190,E90,E190,EGPH,"Râşca",AV-1089,,51800.00,0.00,A
E190,E90,E190,EGPH,"Vlasenica",AV-1090,,51800.00,0.00,A
E190,E90,E190,EGPH,"Bacoachi",AV-1091,,51800.00,0.00,A
E190,E90,E190,EGPH,"Santo Domingo Tomaltepec",AV-1092,,51800.00,0.00,A
E190,E90,E190,EGPH,"Ibrāhīm Khān",AV-1093,,51800.00,0.00,A
E190,E90,E190,EGPH,"Córdoba",AV-1094,,51800.00,0.00,A
E190,E90,E190,EGPH,"Cista Provo",AV-1095,,51800.00,0.00,A
E190,E90,E190,EGPH,"Ringgold",AV-1096,,51800.00,0.00,A
E190,E90,E190,EGPH,"Täby",AV-1097,,51800.00,0.00,A
E190,E90,E190,EGPH,"Dumbrava",AV-1098,,51800.00,0.00,A
E190,E90,E190,EGPH,"Benevento",AV-1099,,51800.00,0.00,A
SF34,,SF34,EGPH,"Variaş",AV-1100,,13155.00,0.00,A
SF34,,SF34,EGPH,"Bughea de Sus",AV-1101,,13155.00,0.00,A
